,rooms,people,home_area (m^2),is_airconditioning_used,is_electronics_used,is_apartment,avg_monthly_income (Rs),children,is_city,electricity_bill (Rs),electricity_bill_prediction
0,3,3,742.57,1,1,1,9675.93,2,0,560.4814468999999,672.317529110085
1,1,5,952.99,0,1,0,35064.79,1,1,633.2836786,662.6076330247706
2,3,1,761.44,1,1,1,22292.44,0,0,511.8791568,464.66331411524783
3,0,5,861.32,1,1,0,12139.08,0,0,332.9920353,407.8916767077981
4,1,8,731.61,0,1,0,17230.1,2,1,658.285625,687.9654045199084
5,0,5,837.24,0,1,1,24661.81,2,1,793.2423456,782.321762203424
6,4,5,679.04,0,1,0,28184.43,1,1,570.3828451,617.0710336461582
7,3,4,1044.65,0,0,1,16912.69,2,1,585.4051997,624.3241072767361
8,2,4,713.9,1,0,0,26058.28,0,1,653.2008685,627.8741693826189
9,1,6,734.43,0,0,0,22545.5,2,1,606.015138,618.1110933816686
10,2,6,742.69,0,1,0,15670.76,0,0,222.73454159999997,250.13797067410047
11,1,6,924.04,1,1,0,22527.33,0,1,606.1839762999999,692.7733933250165
12,0,3,776.62,0,1,0,32341.3,0,1,528.2784473999999,535.4800780459915
13,2,4,990.59,0,1,1,13084.35,0,1,622.3819174,563.6383288778924
14,2,7,870.61,0,1,0,31430.75,1,1,756.6516958999999,659.020189206492
15,1,5,747.02,0,1,0,28595.98,0,1,471.12843669999995,534.8753572280585
16,3,5,699.01,0,0,1,44997.0,3,0,458.84287939999996,535.4721904057589
17,2,8,932.84,1,1,0,30009.93,1,1,818.1268647,830.3548827485373
18,4,4,573.69,0,1,0,32902.39,1,0,355.43433460000006,362.36934822801567
19,3,1,901.33,0,1,1,27090.16,2,1,707.9660271,756.0078011947079
20,1,6,902.07,1,1,0,11306.32,1,0,583.5433244,544.4286837653248
21,3,4,686.59,0,1,1,36352.99,1,1,579.6585177999999,660.5070553328862
22,1,4,860.28,0,0,0,7792.07,0,1,529.6833919,464.53353576325657
23,1,7,859.83,0,1,1,42003.43,1,1,763.9111317,692.6456528429453
24,2,6,773.65,0,1,0,30764.16,2,1,695.0368687000001,695.3560717658412
25,2,7,808.93,0,1,1,26083.57,1,1,605.607782,676.887725698083
26,3,2,890.69,1,1,1,17349.88,4,1,994.6565775,1018.9081754870879
27,1,1,765.32,0,1,1,8315.34,0,1,535.7010785,554.1001107125219
28,1,2,657.97,1,1,0,28148.91,1,1,711.3453732999999,795.7800913911185
29,2,7,816.77,0,1,1,16817.74,1,1,703.4094805,677.0081946053813
30,3,5,988.62,0,1,0,30021.55,3,1,731.2151799,778.6849502000018
31,1,4,733.55,0,1,1,14935.76,2,1,746.0997602000001,767.4196403367728
32,3,6,682.75,0,1,1,14898.26,1,1,601.4020142,690.0183250353944
33,0,9,1009.31,1,1,0,26697.92,2,0,715.5738462,612.7561194300055
34,2,7,764.79,1,1,1,26101.9,0,1,782.140521,747.4573705883864
35,2,6,643.52,0,1,0,5829.41,1,1,534.364255,594.8564008488561
36,2,5,554.38,0,0,1,28399.11,0,0,312.5746088,292.82901427987883
37,3,5,823.05,0,1,0,32656.32,0,1,611.881149,539.616716798105
38,1,4,640.25,0,1,0,20463.3,0,1,552.3478759999999,515.2382841362472
39,4,5,689.76,1,0,0,26291.15,0,0,349.60272819999994,400.6731082885653
40,2,5,813.69,0,1,1,23541.2,1,1,612.5974269999999,670.9525100951332
41,1,3,821.69,1,1,0,16745.65,1,1,737.1308417,788.6594823590768
42,3,3,664.68,1,0,1,32740.89,2,1,873.6665321,832.6350432070037
43,2,3,1054.58,1,1,1,21255.23,0,1,696.3223547,748.2840225237109
44,2,0,1042.81,0,0,1,39314.16,0,0,238.9001909,291.98279087782413
45,3,5,929.46,0,1,1,16106.32,1,1,592.0867337000001,667.0513051361066
46,1,4,673.08,1,0,1,14214.36,2,0,658.0727505,591.447690459775
47,1,5,713.62,0,1,1,36298.72,1,1,694.1850442000001,676.0108280857867
48,2,5,704.72,1,1,1,31749.91,2,1,926.2187523,923.8692123681167
49,1,4,794.74,0,0,0,6364.43,1,1,622.8890891,534.1697725751051
50,2,4,829.78,1,1,1,19835.2,2,1,1010.938058,923.6327004290637
51,1,4,953.19,1,1,1,39489.23,1,1,815.613587,829.243607958446
52,1,5,585.55,0,0,1,20797.91,3,0,565.2021559,537.8740587594509
53,5,6,633.97,1,0,1,28202.39,0,0,447.529972,461.53671937290443
54,3,5,820.54,0,1,0,22586.51,0,1,579.811638,532.1276789168428
55,3,3,750.39,0,1,0,18681.58,3,0,564.8511814,497.51543645899767
56,2,2,672.37,1,1,1,19403.1,1,1,803.3617544,804.6335264456128
57,2,4,685.43,0,1,0,34816.79,0,1,453.9486956,529.7052955046545
58,3,2,662.29,0,1,0,36722.54,2,0,428.0121685,481.1542500134112
59,1,6,725.53,0,1,0,25109.88,3,0,559.7427587000001,503.3427708707963
60,1,0,878.69,0,1,1,15569.46,2,1,821.6441917999999,755.6437842851193
