,Date,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,HalfHourPeriod,ForecastWindProduction,NationalLoadForecast,PriceForecast$,Temperature C,Windspeed km/h,CO2Intensity g/kWh,WindProduction MWh,NationalSystemLoad MWh,Price $
0,2011-11-01 00:00:00,0,1,44,1,11,2011,0,315.31,3388.77,49.26,6.0,9.3,600.71,356.0,3159.6,54.32
1,2011-11-01 00:30:00,0,1,44,1,11,2011,1,321.8,3196.66,49.26,6.0,11.1,605.42,317.0,2973.01,54.23
2,2011-11-01 01:00:00,0,1,44,1,11,2011,2,328.57,3060.71,49.1,5.0,11.1,589.97,311.0,2834.0,54.23
3,2011-11-01 01:30:00,0,1,44,1,11,2011,3,335.6,2945.56,48.04,6.0,9.3,585.94,313.0,2725.99,53.47
4,2011-11-01 02:00:00,0,1,44,1,11,2011,4,342.9,2849.34,33.75,6.0,11.1,571.52,346.0,2655.64,39.87
5,2011-11-01 02:30:00,0,1,44,1,11,2011,5,342.97,2810.01,33.75,5.0,11.1,562.61,342.0,2585.99,39.87
6,2011-11-01 03:00:00,0,1,44,1,11,2011,6,343.18,2780.52,33.75,5.0,7.4,545.81,336.0,2561.7,39.87
7,2011-11-01 03:30:00,0,1,44,1,11,2011,7,343.46,2762.67,33.75,5.0,9.3,539.38,338.0,2544.33,39.87
8,2011-11-01 04:00:00,0,1,44,1,11,2011,8,343.88,2766.63,33.75,4.0,11.1,538.7,347.0,2549.02,39.87
9,2011-11-01 04:30:00,0,1,44,1,11,2011,9,344.39,2786.8,33.75,4.0,7.4,540.39,338.0,2547.15,39.87
10,2011-11-01 05:00:00,0,1,44,1,11,2011,10,345.02,2817.59,33.75,4.0,7.4,532.3,372.0,2584.58,39.87
11,2011-11-01 05:30:00,0,1,44,1,11,2011,11,342.23,2895.62,47.42,5.0,5.6,547.57,361.0,2641.37,39.87
12,2011-11-01 06:00:00,0,1,44,1,11,2011,12,339.22,3039.67,44.31,5.0,3.7,556.14,383.0,2842.19,51.45
13,2011-11-01 06:30:00,0,1,44,1,11,2011,13,335.39,3325.1,45.14,5.0,3.7,590.34,358.0,3082.97,51.45
14,2011-11-01 07:00:00,0,1,44,1,11,2011,14,330.95,3661.02,46.25,4.0,9.3,596.22,402.0,3372.55,52.82
15,2011-11-01 07:30:00,0,1,44,1,11,2011,15,325.93,4030.0,52.84,5.0,3.7,581.52,368.0,3572.64,53.65
16,2011-11-01 08:00:00,0,1,44,1,11,2011,16,320.91,4306.54,59.44,5.0,5.6,577.27,361.0,3852.42,54.21
17,2011-11-01 08:30:00,0,1,44,1,11,2011,17,365.15,4438.05,62.15,6.0,5.6,568.76,340.0,4116.03,58.33
18,2011-11-01 09:00:00,0,1,44,1,11,2011,18,410.55,4585.84,61.81,8.0,7.4,560.79,358.0,4345.42,58.33
19,2011-11-01 09:30:00,0,1,44,1,11,2011,19,458.56,4723.93,61.88,9.0,7.4,542.8,339.0,4427.29,58.33
21,2011-11-01 10:30:00,0,1,44,1,11,2011,21,573.36,4829.44,61.28,11.0,13.0,532.52,335.0,4493.22,58.27
22,2011-11-01 11:00:00,0,1,44,1,11,2011,22,636.75,4888.29,61.63,11.0,22.2,534.34,372.0,4513.02,58.26
23,2011-11-01 11:30:00,0,1,44,1,11,2011,23,683.59,4936.25,62.12,11.0,18.5,530.08,415.0,4490.71,58.26
24,2011-11-01 12:00:00,0,1,44,1,11,2011,24,731.07,4995.51,62.83,11.0,22.2,517.55,513.0,4493.73,58.26
25,2011-11-01 12:30:00,0,1,44,1,11,2011,25,780.23,5044.68,60.2,11.0,20.4,506.83,623.0,4481.31,58.15
26,2011-11-01 13:00:00,0,1,44,1,11,2011,26,828.09,5018.8,56.25,12.0,20.4,513.98,683.0,4408.46,54.74
27,2011-11-01 13:30:00,0,1,44,1,11,2011,27,873.81,4916.93,56.25,11.0,24.1,518.96,711.0,4341.14,54.74
28,2011-11-01 14:00:00,0,1,44,1,11,2011,28,920.69,4933.87,56.25,12.0,22.2,525.69,761.0,4338.35,54.14
29,2011-11-01 14:30:00,0,1,44,1,11,2011,29,985.09,4978.87,56.25,11.0,25.9,528.47,750.0,4294.17,53.63
30,2011-11-01 15:00:00,0,1,44,1,11,2011,30,1044.37,5013.1,56.25,11.0,22.2,528.17,758.0,4318.87,53.63
31,2011-11-01 15:30:00,0,1,44,1,11,2011,31,1098.97,5061.1,56.25,11.0,24.1,513.22,805.0,4375.62,53.63
32,2011-11-01 16:00:00,0,1,44,1,11,2011,32,1148.24,5137.37,56.25,11.0,27.8,509.16,782.0,4469.73,54.74
33,2011-11-01 16:30:00,0,1,44,1,11,2011,33,1191.7,5325.37,56.25,11.0,27.8,495.57,861.0,4720.21,58.15
37,2011-11-01 18:30:00,0,1,44,1,11,2011,37,1370.76,5727.71,61.89,11.0,35.2,460.87,1191.0,5051.17,58.26
38,2011-11-01 19:00:00,0,1,44,1,11,2011,38,1407.5,5532.86,56.25,12.0,35.2,463.02,1230.0,4882.23,58.26
39,2011-11-01 19:30:00,0,1,44,1,11,2011,39,1438.24,5401.07,56.25,12.0,37.0,457.03,1279.0,4676.06,54.14
40,2011-11-01 20:00:00,0,1,44,1,11,2011,40,1464.71,5182.14,49.66,12.0,37.0,457.09,1278.0,4520.71,54.74
41,2011-11-01 20:30:00,0,1,44,1,11,2011,41,1480.69,5004.2,49.66,12.0,38.9,462.62,1247.0,4403.16,54.74
42,2011-11-01 21:00:00,0,1,44,1,11,2011,42,1494.24,4876.12,46.25,12.0,38.9,445.23,1250.0,4225.18,53.63
43,2011-11-01 21:30:00,0,1,44,1,11,2011,43,1505.4,4622.8,46.25,12.0,42.6,463.86,1246.0,4000.62,54.74
44,2011-11-01 22:00:00,0,1,44,1,11,2011,44,1514.68,4417.01,46.25,12.0,44.4,457.84,1281.0,3757.52,53.0
45,2011-11-01 22:30:00,0,1,44,1,11,2011,45,1522.58,4174.11,45.14,12.0,51.9,409.03,1325.0,3536.95,53.0
46,2011-11-01 23:00:00,0,1,44,1,11,2011,46,1293.3,3974.23,45.14,12.0,48.2,381.35,1391.0,3425.87,51.61
47,2011-11-01 23:30:00,0,1,44,1,11,2011,47,1300.1,3844.51,44.9,12.0,48.2,374.14,1374.0,3192.47,51.61
48,2011-11-02 00:00:00,0,2,44,2,11,2011,0,1305.1,3591.85,44.47,12.0,46.3,357.17,1357.0,2936.4,51.45
49,2011-11-02 00:30:00,0,2,44,2,11,2011,1,1307.6,3366.83,44.47,12.0,48.2,341.24,1264.0,2757.26,36.53
50,2011-11-02 01:00:00,0,2,44,2,11,2011,2,1309.9,3197.92,44.31,12.0,48.2,354.87,1116.0,2645.58,36.53
51,2011-11-02 01:30:00,0,2,44,2,11,2011,3,1310.8,3091.68,30.87,12.0,50.0,371.32,998.0,2546.5,36.53
52,2011-11-02 02:00:00,0,2,44,2,11,2011,4,1311.2,2978.13,30.87,12.0,42.6,387.3,886.0,2465.26,5.66
53,2011-11-02 02:30:00,0,2,44,2,11,2011,5,1308.9,2928.29,30.87,12.0,50.0,400.07,816.0,2419.12,5.66
54,2011-11-02 03:00:00,0,2,44,2,11,2011,6,1306.0,2864.87,30.87,12.0,50.0,411.8,747.0,2416.97,5.66
55,2011-11-02 03:30:00,0,2,44,2,11,2011,7,1301.4,2837.06,30.87,12.0,44.4,417.81,751.0,2419.49,5.66
56,2011-11-02 04:00:00,0,2,44,2,11,2011,8,1298.0,2826.59,30.87,12.0,50.0,416.04,765.0,2431.44,5.66
57,2011-11-02 04:30:00,0,2,44,2,11,2011,9,1294.8,2823.85,30.87,12.0,48.2,418.83,735.0,2425.62,5.66
58,2011-11-02 05:00:00,0,2,44,2,11,2011,10,1292.3,2878.57,30.87,12.0,50.0,419.19,751.0,2476.72,36.53
59,2011-11-02 05:30:00,0,2,44,2,11,2011,11,1290.1,2947.63,30.87,12.0,51.9,425.83,709.0,2515.88,36.53
60,2011-11-02 06:00:00,0,2,44,2,11,2011,12,1289.6,3118.35,29.96,12.0,51.9,413.33,760.0,2658.52,29.95
61,2011-11-02 06:30:00,0,2,44,2,11,2011,13,1289.6,3403.57,44.31,12.0,50.0,380.44,934.0,2883.79,42.8
62,2011-11-02 07:00:00,0,2,44,2,11,2011,14,1287.3,3827.88,46.58,12.0,53.7,375.18,1078.0,3251.61,44.3
63,2011-11-02 07:30:00,0,2,44,2,11,2011,15,1286.0,4271.47,52.59,12.0,55.6,404.33,1143.0,3454.44,44.3
64,2011-11-02 08:00:00,0,2,44,2,11,2011,16,1284.1,4515.13,55.61,12.0,51.9,425.09,1150.0,3713.34,50.6
65,2011-11-02 08:30:00,0,2,44,2,11,2011,17,1282.7,4615.31,55.04,12.0,48.2,431.74,1251.0,3920.53,48.8
66,2011-11-02 09:00:00,0,2,44,2,11,2011,18,1281.0,4707.88,55.04,13.0,50.0,456.66,1293.0,4132.04,50.65
68,2011-11-02 10:00:00,0,2,44,2,11,2011,20,1279.6,4858.55,55.57,13.0,53.7,468.93,1259.0,4259.69,53.9
70,2011-11-02 11:00:00,0,2,44,2,11,2011,22,1276.7,4916.0,55.53,12.0,51.9,465.39,1316.0,4393.66,55.74
71,2011-11-02 11:30:00,0,2,44,2,11,2011,23,1274.7,4926.02,56.04,13.0,51.9,468.4,1304.0,4423.09,56.76
72,2011-11-02 12:00:00,0,2,44,2,11,2011,24,1272.2,4979.75,68.62,13.0,48.2,459.46,1326.0,4488.02,57.54
73,2011-11-02 12:30:00,0,2,44,2,11,2011,25,1268.7,5021.31,68.61,13.0,44.4,455.1,1364.0,4520.37,58.18
74,2011-11-02 13:00:00,0,2,44,2,11,2011,26,1265.9,5012.99,68.61,13.0,44.4,455.02,1356.0,4465.23,56.39
75,2011-11-02 13:30:00,0,2,44,2,11,2011,27,1263.8,4940.5,68.6,13.0,48.2,453.15,1373.0,4396.55,54.81
76,2011-11-02 14:00:00,0,2,44,2,11,2011,28,1264.0,4950.29,68.6,12.0,44.4,457.66,1353.0,4431.86,55.09
77,2011-11-02 14:30:00,0,2,44,2,11,2011,29,1268.3,4981.91,68.6,13.0,50.0,459.48,1340.0,4454.54,56.72
78,2011-11-02 15:00:00,0,2,44,2,11,2011,30,1267.6,5000.96,68.6,12.0,51.9,453.33,1323.0,4492.34,57.68
79,2011-11-02 15:30:00,0,2,44,2,11,2011,31,1251.7,5018.97,68.59,13.0,46.3,448.18,1322.0,4549.44,57.99
80,2011-11-02 16:00:00,0,2,44,2,11,2011,32,1235.1,5156.49,78.2,13.0,50.0,433.72,1398.0,4659.24,69.95
81,2011-11-02 16:30:00,0,2,44,2,11,2011,33,1216.9,5455.41,82.02,13.0,46.3,439.11,1378.0,4924.02,76.57
84,2011-11-02 18:00:00,0,2,44,2,11,2011,36,1387.98,5946.36,156.78,13.0,42.6,429.17,1412.0,5205.09,94.55
85,2011-11-02 18:30:00,0,2,44,2,11,2011,37,1385.12,5771.51,128.16,13.0,40.7,440.82,1377.0,5052.31,86.17
86,2011-11-02 19:00:00,0,2,44,2,11,2011,38,1381.62,5580.8,103.81,13.0,42.6,439.2,1367.0,4930.86,76.24
87,2011-11-02 19:30:00,0,2,44,2,11,2011,39,1377.47,5446.87,74.99,13.0,42.6,439.45,1338.0,4788.65,72.92
88,2011-11-02 20:00:00,0,2,44,2,11,2011,40,1372.65,5228.61,71.42,13.0,40.7,436.44,1328.0,4621.2,58.61
89,2011-11-02 20:30:00,0,2,44,2,11,2011,41,1359.83,5073.67,58.33,13.0,38.9,426.1,1340.0,4499.07,55.93
90,2011-11-02 21:00:00,0,2,44,2,11,2011,42,1345.88,4958.04,58.33,13.0,38.9,410.56,1356.0,4345.07,53.6
91,2011-11-02 21:30:00,0,2,44,2,11,2011,43,1330.42,4741.71,55.51,12.0,33.3,396.23,1342.0,4178.42,50.33
92,2011-11-02 22:00:00,0,2,44,2,11,2011,44,1313.28,4528.98,54.93,12.0,29.6,404.72,1351.0,3964.79,48.8
93,2011-11-02 22:30:00,0,2,44,2,11,2011,45,1294.48,4236.24,54.65,12.0,29.6,405.89,1315.0,3751.52,48.36
94,2011-11-02 23:00:00,0,2,44,2,11,2011,46,1273.91,4100.56,54.93,12.0,33.3,395.18,1310.0,3664.19,48.36
95,2011-11-02 23:30:00,0,2,44,2,11,2011,47,1245.68,3957.31,54.65,12.0,33.3,385.27,1270.0,3465.06,48.36
96,2011-11-03 00:00:00,0,3,44,3,11,2011,0,1214.47,3645.55,54.21,12.0,35.2,373.89,1252.0,3235.88,47.38
97,2011-11-03 00:30:00,0,3,44,3,11,2011,1,1178.77,3418.87,51.89,12.0,29.6,320.85,1258.0,3058.27,45.39
98,2011-11-03 01:00:00,0,3,44,3,11,2011,2,1140.0,3251.74,51.89,12.0,29.6,321.07,1213.0,2922.82,32.54
99,2011-11-03 01:30:00,0,3,44,3,11,2011,3,1099.41,3121.69,35.97,12.0,31.5,327.85,1125.0,2804.93,32.54
100,2011-11-03 02:00:00,0,3,44,3,11,2011,4,1056.13,3017.3,35.97,12.0,31.5,338.08,1019.0,2710.3,32.54
101,2011-11-03 02:30:00,0,3,44,3,11,2011,5,1026.64,2934.2,6.02,12.0,33.3,343.44,953.0,2607.19,32.54
102,2011-11-03 03:00:00,0,3,44,3,11,2011,6,996.46,2876.74,6.02,12.0,29.6,358.24,840.0,2552.84,32.54
